prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
64,1024,8,16,28.991
64,1024,8,64,29.472
64,1024,8,256,29.632
64,1024,8,1024,31.616
64,1024,16,16,28.704
64,1024,16,64,28.607
64,1024,16,256,26.561
64,1024,16,1024,34.912
64,1024,32,16,29.665
64,1024,32,64,30.047
64,1024,32,256,30.624
64,1024,32,1024,54.688
64,1024,64,16,30.4
64,1024,64,64,32.416
64,1024,64,256,43.487
64,1024,64,1024,85.119
64,1024,128,16,37.088
64,1024,128,64,38.111
64,1024,128,256,57.441
64,1024,128,1024,117.15
64,1024,256,16,48.191
64,1024,256,64,50.592
64,1024,256,256,93.345
64,1024,256,1024,214.143
256,0,0,0,20.481
256,0,1,16,20.672
256,0,1,64,20.385
256,0,1,256,20.224
256,0,1,1024,28.576
256,0,2,16,20.286
256,0,2,64,20.352
256,0,2,256,20.928
256,0,2,1024,28.64
256,0,4,16,20.64
256,0,4,64,20.769
256,0,4,256,20.704
256,0,4,1024,28.832
256,0,8,16,19.968
256,0,8,64,20.384
256,0,8,256,20
256,0,8,1024,30.466
256,0,16,16,21.536
256,0,16,64,21.888
256,0,16,256,22.048
256,0,16,1024,34.879
256,0,32,16,22.241
256,0,32,64,22.559
256,0,32,256,24.384
256,0,32,1024,57.63
256,0,64,16,23.903
256,0,64,64,23.552
256,0,64,256,34.848
256,0,64,1024,82.048
256,0,128,16,28.992
256,0,128,64,29.729
256,0,128,256,52.384
256,0,128,1024,118.912
256,0,256,16,37.375
256,0,256,64,42.464
256,0,256,256,74.24
256,0,256,1024,215.616
256,16,0,0,20.863
256,16,1,16,20.545
256,16,1,64,20.608
256,16,1,256,20.801
256,16,1,1024,29.438
256,16,2,16,20.704
256,16,2,64,20.447
256,16,2,256,20.736
256,16,2,1024,28.512
256,16,4,16,20.96
256,16,4,64,20.545
256,16,4,256,21.087
256,16,4,1024,29.633
256,16,8,16,20.898
256,16,8,64,20.768
256,16,8,256,20.864
256,16,8,1024,30.848
256,16,16,16,22.72
256,16,16,64,22.752
256,16,16,256,22.144
256,16,16,1024,35.744
256,16,32,16,22.399
256,16,32,64,22.718
256,16,32,256,24.129
256,16,32,1024,57.441
256,16,64,16,22.655
256,16,64,64,23.456
256,16,64,256,33.696
256,16,64,1024,78.976
256,16,128,16,28.641
256,16,128,64,29.217
256,16,128,256,49.057
256,16,128,1024,120.544
256,16,256,16,38.112
256,16,256,64,41.824
256,16,256,256,77.474
256,16,256,1024,219.264
256,64,0,0,20.608
256,64,1,16,21.215
256,64,1,64,21.344
256,64,1,256,21.311
256,64,1,1024,29.121
256,64,2,16,21.024
256,64,2,64,21.054
256,64,2,256,21.376
256,64,2,1024,29.056
256,64,4,16,21.44
256,64,4,64,21.12
256,64,4,256,21.088
256,64,4,1024,29.183
256,64,8,16,21.024
256,64,8,64,21.184
256,64,8,256,20.799
256,64,8,1024,31.007
256,64,16,16,22.496
256,64,16,64,22.496
256,64,16,256,22.751
256,64,16,1024,34.177
256,64,32,16,22.72
256,64,32,64,22.943
256,64,32,256,23.2
256,64,32,1024,57.794
256,64,64,16,23.776
256,64,64,64,23.872
256,64,64,256,34.528
256,64,64,1024,78.816
256,64,128,16,29.408
256,64,128,64,30.271
256,64,128,256,51.775
256,64,128,1024,122.272
256,64,256,16,37.888
256,64,256,64,41.504
256,64,256,256,81.311
256,64,256,1024,212.8
256,256,0,0,32.096
256,256,1,16,33.855
256,256,1,64,34.399
256,256,1,256,33.984
256,256,1,1024,33.6
256,256,2,16,33.504
256,256,2,64,34.4
256,256,2,256,33.632
256,256,2,1024,32.32
256,256,4,16,34.687
256,256,4,64,34.048
256,256,4,256,34.016
256,256,4,1024,32.064
256,256,8,16,34.239
256,256,8,64,34.143
256,256,8,256,33.504
256,256,8,1024,32.864
256,256,16,16,36.16
256,256,16,64,35.328
256,256,16,256,40.064
256,256,16,1024,47.424
256,256,32,16,37.183
256,256,32,64,36.512
256,256,32,256,35.488
256,256,32,1024,55.648
256,256,64,16,39.839
256,256,64,64,40.257
256,256,64,256,45.408
256,256,64,1024,80.928
256,256,128,16,43.456
256,256,128,64,44
256,256,128,256,60.48
256,256,128,1024,122.113
256,256,256,16,48.96
256,256,256,64,53.823
256,256,256,256,95.295
256,256,256,1024,217.633
256,1024,0,0,39.424
256,1024,1,16,40.352
256,1024,1,64,40.287
256,1024,1,256,39.808
256,1024,1,1024,41.824
256,1024,2,16,40.832
256,1024,2,64,40.254
256,1024,2,256,40.352
256,1024,2,1024,43.168
256,1024,4,16,35.712
256,1024,4,64,36.064
256,1024,4,256,42.336
256,1024,4,1024,39.551
256,1024,8,16,36.576
256,1024,8,64,36.896
256,1024,8,256,42.016
256,1024,8,1024,46.112
256,1024,16,16,41.792
256,1024,16,64,42.496
256,1024,16,256,40.672
256,1024,16,1024,43.584
256,1024,32,16,43.713
256,1024,32,64,43.682
256,1024,32,256,45.791
256,1024,32,1024,59.936
256,1024,64,16,42.656
256,1024,64,64,43.199
256,1024,64,256,46.497
256,1024,64,1024,84.608
256,1024,128,16,49.408
256,1024,128,64,50.4
256,1024,128,256,63.424
256,1024,128,1024,131.391
256,1024,256,16,59.904
256,1024,256,64,63.359
256,1024,256,256,93.984
256,1024,256,1024,226.272
1024,0,0,0,41.6
1024,0,1,16,41.76
1024,0,1,64,41.697
1024,0,1,256,41.376
1024,0,1,1024,41.248
1024,0,2,16,41.888
1024,0,2,64,41.44
1024,0,2,256,41.6
1024,0,2,1024,41.727
1024,0,4,16,41.76
1024,0,4,64,41.728
1024,0,4,256,41.664
1024,0,4,1024,47.04
1024,0,8,16,41.728
1024,0,8,64,41.696
1024,0,8,256,42.016
1024,0,8,1024,48.256
1024,0,16,16,41.728
1024,0,16,64,41.984
1024,0,16,256,42.046
1024,0,16,1024,51.391
1024,0,32,16,42.272
1024,0,32,64,42.305
1024,0,32,256,42.752
1024,0,32,1024,64.768
1024,0,64,16,43.712
1024,0,64,64,43.487
1024,0,64,256,51.328
1024,0,64,1024,83.839
1024,0,128,16,47.04
1024,0,128,64,46.752
1024,0,128,256,65.504
1024,0,128,1024,130.304
1024,0,256,16,56.289
1024,0,256,64,59.456
1024,0,256,256,88.639
1024,0,256,1024,217.984
1024,16,0,0,41.76
1024,16,1,16,41.247
1024,16,1,64,41.631
1024,16,1,256,41.408
1024,16,1,1024,41.984
1024,16,2,16,41.984
1024,16,2,64,41.92
1024,16,2,256,41.535
1024,16,2,1024,41.825
1024,16,4,16,41.728
1024,16,4,64,41.886
1024,16,4,256,41.696
1024,16,4,1024,46.592
1024,16,8,16,42.272
1024,16,8,64,42.143
1024,16,8,256,42.015
1024,16,8,1024,48.609
1024,16,16,16,42.015
1024,16,16,64,42.08
1024,16,16,256,41.697
1024,16,16,1024,51.423
1024,16,32,16,42.56
1024,16,32,64,42.558
1024,16,32,256,42.208
1024,16,32,1024,67.744
1024,16,64,16,43.36
1024,16,64,64,42.975
1024,16,64,256,50.336
1024,16,64,1024,88.191
1024,16,128,16,46.464
1024,16,128,64,48.48
1024,16,128,256,64.288
1024,16,128,1024,133.088
1024,16,256,16,56.352
1024,16,256,64,58.942
1024,16,256,256,89.6
1024,16,256,1024,220.127
1024,64,0,0,43.233
1024,64,1,16,43.104
1024,64,1,64,42.977
1024,64,1,256,42.657
1024,64,1,1024,43.232
1024,64,2,16,43.488
1024,64,2,64,43.04
1024,64,2,256,43.808
1024,64,2,1024,43.488
1024,64,4,16,43.104
1024,64,4,64,43.072
1024,64,4,256,43.392
1024,64,4,1024,48.575
1024,64,8,16,43.328
1024,64,8,64,42.912
1024,64,8,256,43.458
1024,64,8,1024,48.864
1024,64,16,16,43.262
1024,64,16,64,43.04
1024,64,16,256,43.104
1024,64,16,1024,52.895
1024,64,32,16,43.394
1024,64,32,64,44.129
1024,64,32,256,44.224
1024,64,32,1024,63.265
1024,64,64,16,44.256
1024,64,64,64,44.768
1024,64,64,256,51.55
1024,64,64,1024,87.392
1024,64,128,16,48.064
1024,64,128,64,49.216
1024,64,128,256,64.864
1024,64,128,1024,131.743
1024,64,256,16,57.44
1024,64,256,64,59.265
1024,64,256,256,89.44
1024,64,256,1024,215.039
1024,256,0,0,46.207
1024,256,1,16,46.368
1024,256,1,64,46.432
1024,256,1,256,46.207
1024,256,1,1024,46.496
1024,256,2,16,46.08
1024,256,2,64,46.464
1024,256,2,256,46.304
1024,256,2,1024,47.04
1024,256,4,16,46.495
1024,256,4,64,46.687
1024,256,4,256,46.592
1024,256,4,1024,52
1024,256,8,16,46.144
1024,256,8,64,46.464
1024,256,8,256,46.175
1024,256,8,1024,53.504
1024,256,16,16,46.463
1024,256,16,64,46.464
1024,256,16,256,46.56
1024,256,16,1024,56.159
1024,256,32,16,46.528
1024,256,32,64,47.295
1024,256,32,256,46.944
1024,256,32,1024,66.976
1024,256,64,16,48.097
1024,256,64,64,47.552
1024,256,64,256,56.544
1024,256,64,1024,91.904
1024,256,128,16,51.36
1024,256,128,64,53.407
1024,256,128,256,69.664
1024,256,128,1024,136.831
1024,256,256,16,61.217
1024,256,256,64,63.297
1024,256,256,256,94.592
1024,256,256,1024,222.399
1024,1024,0,0,61.823
1024,1024,1,16,61.503
1024,1024,1,64,61.408
1024,1024,1,256,61.503
1024,1024,1,1024,61.247
1024,1024,2,16,61.537
1024,1024,2,64,61.567
1024,1024,2,256,61.76
1024,1024,2,1024,61.663
1024,1024,4,16,61.504
1024,1024,4,64,61.857
1024,1024,4,256,62.015
1024,1024,4,1024,66.174
1024,1024,8,16,61.345
1024,1024,8,64,61.344
1024,1024,8,256,61.6
1024,1024,8,1024,66.848
1024,1024,16,16,62.304
1024,1024,16,64,61.694
1024,1024,16,256,61.568
1024,1024,16,1024,70.208
1024,1024,32,16,62.048
1024,1024,32,64,61.952
1024,1024,32,256,62.048
1024,1024,32,1024,80.768
1024,1024,64,16,63.008
1024,1024,64,64,63.328
1024,1024,64,256,69.312
1024,1024,64,1024,104.16
1024,1024,128,16,66.592
1024,1024,128,64,67.008
1024,1024,128,256,83.424
1024,1024,128,1024,148.191
1024,1024,256,16,76.096
1024,1024,256,64,77.472
1024,1024,256,256,107.712
1024,1024,256,1024,234.366
