layer,tokens,time_us
qkv_proj,336,22.016
qkv_proj,352,30.912
qkv_proj,368,28.352
qkv_proj,384,25.088
qkv_proj,400,25.857
qkv_proj,416,44.608
qkv_proj,432,26.656
qkv_proj,448,44.8
qkv_proj,464,27.264
qkv_proj,480,27.008
qkv_proj,496,29.375
qkv_proj,512,29.408
qkv_proj,528,44.48
qkv_proj,544,35.711
qkv_proj,560,44.896
qkv_proj,576,34.911
qkv_proj,592,35.136
qkv_proj,608,35.553
qkv_proj,624,36.48
qkv_proj,640,36.192
qkv_proj,656,38.944
qkv_proj,672,39.04
qkv_proj,688,37.408
qkv_proj,704,49.248
qkv_proj,720,37.44
qkv_proj,736,44.192
qkv_proj,752,42.752
qkv_proj,768,38.112
qkv_proj,784,41.28
qkv_proj,800,41.28
qkv_proj,816,46.399
qkv_proj,832,48.032
qkv_proj,848,44.896
qkv_proj,864,48
qkv_proj,880,45.247
qkv_proj,896,45.824
qkv_proj,912,49.535
qkv_proj,928,49.6
qkv_proj,944,49.856
qkv_proj,960,50.016
qkv_proj,976,50.496
qkv_proj,992,50.208
qkv_proj,1008,51.199
qkv_proj,1024,50.688
rotary_emb,1,2.016
rotary_emb,2,2.08
rotary_emb,3,2.305
rotary_emb,4,2.303
rotary_emb,5,2.208
rotary_emb,6,2.208
rotary_emb,7,2.304
rotary_emb,8,2.272
rotary_emb,9,2.304
rotary_emb,10,2.336
rotary_emb,11,2.304
rotary_emb,12,2.304
rotary_emb,13,2.272
rotary_emb,14,2.241
rotary_emb,15,2.144
rotary_emb,16,2.143
rotary_emb,20,2.24
rotary_emb,24,2.432
rotary_emb,28,2.335
rotary_emb,32,2.24
rotary_emb,36,2.432
rotary_emb,40,2.464
rotary_emb,44,2.368
rotary_emb,48,2.432
rotary_emb,52,2.72
rotary_emb,56,2.592
rotary_emb,60,2.368
rotary_emb,64,2.432
rotary_emb,80,2.368
rotary_emb,96,2.496
rotary_emb,112,2.752
rotary_emb,128,2.592
rotary_emb,144,2.752
rotary_emb,160,2.656
rotary_emb,176,2.72
rotary_emb,192,2.624
rotary_emb,208,2.624
rotary_emb,224,2.624
rotary_emb,240,2.72
rotary_emb,256,2.752
rotary_emb,272,2.783
rotary_emb,288,2.976
rotary_emb,304,2.944
rotary_emb,320,2.976
rotary_emb,336,2.912
rotary_emb,352,3.008
rotary_emb,368,2.976
rotary_emb,384,3.072
rotary_emb,400,2.976
rotary_emb,416,3.104
rotary_emb,432,3.168
rotary_emb,448,3.104
rotary_emb,464,3.231
rotary_emb,480,3.104
rotary_emb,496,3.296
rotary_emb,512,3.264
rotary_emb,528,3.328
rotary_emb,544,4.352
rotary_emb,560,4.288
rotary_emb,576,4.608
rotary_emb,592,4.479
rotary_emb,608,4.544
rotary_emb,624,4.352
rotary_emb,640,4.448
rotary_emb,656,4.544
rotary_emb,672,4.576
rotary_emb,688,4.48
rotary_emb,704,4.608
rotary_emb,720,4.704
rotary_emb,736,4.704
rotary_emb,752,4.992
rotary_emb,768,4.672
rotary_emb,784,4.96
rotary_emb,800,4.704
rotary_emb,816,4.704
rotary_emb,832,4.704
rotary_emb,848,4.8
rotary_emb,864,4.768
rotary_emb,880,4.8
rotary_emb,896,4.928
rotary_emb,912,4.993
rotary_emb,928,4.896
rotary_emb,944,5.153
rotary_emb,960,5.28
rotary_emb,976,5.024
rotary_emb,992,5.152
rotary_emb,1008,5.247
rotary_emb,1024,5.345
